ALS 0532-6,BRT 103-182,INTA Centro Sur,INTA Ferroso,INTA Fuerte Sequia,INTA Matagalpa,INTA Precoz,INTA Rojo,Local,PM2 Don Rey,SJC 730-79,ranking
0,0,0,1,0,0,0,3,0,2,0,l>k>g>a>b>h>i>c>j>f>d>e
0,1,0,0,0,3,0,0,0,2,0,k>g>l>a>b>c>h>i>f>j>d>e
3,0,0,1,0,0,0,0,0,0,2,k>g>l>a>b>c>h>i>f>j>d>e
0,0,2,0,0,0,1,3,0,0,0,k>g>l>a>b>c>h>i>f>j>d>e
0,0,0,2,0,1,0,0,0,0,3,k>g>l>a>b>c>h>i>f>j>d>e
1,0,3,0,0,0,0,2,0,0,0,k>g>l>a>b>c>h>i>f>j>d>e
0,0,0,0,1,0,3,0,0,2,0,k>g>l>a>b>c>h>i>f>j>d>e
3,0,1,0,0,0,0,0,0,0,2,k>g>l>a>b>c>h>i>f>j>d>e
0,0,0,0,2,0,0,1,0,3,0,k>g>l>a>b>c>h>i>f>j>d>e
2,0,0,0,0,3,0,0,0,0,1,k>g>l>a>b>c>h>i>f>j>d>e
0,0,1,0,0,0,0,2,0,3,0,k>g>l>a>b>c>h>i>f>j>d>e
0,2,0,1,3,0,0,0,0,0,0,k>g>l>a>b>c>h>i>f>j>d>e
0,0,0,0,0,3,2,0,0,0,1,k>g>l>a>b>c>h>i>f>j>d>e
0,0,0,0,0,1,0,2,0,0,3,k>l>g>a>b>c>h>i>f>j>d>e
1,0,0,0,0,2,0,0,0,3,0,k>l>g>a>b>h>i>c>f>j>d>e
0,2,3,0,1,0,0,0,0,0,0,k>l>g>a>b>h>i>c>f>j>d>e
1,0,0,0,0,3,0,2,0,0,0,k>l>g>a>b>h>c>i>j>f>d>e
0,2,0,0,0,0,0,0,0,1,3,k>l>g>a>b>h>c>i>j>f>d>e
0,0,0,0,0,0,3,1,0,0,2,k>l>g>a>j>b>c>h>i>f>d>e
3,0,0,0,0,0,0,0,0,1,2,k>l>g>a>b>c>h>j>i>f>d>e
3,0,2,0,0,1,0,0,0,0,0,k>l>g>a>b>j>h>i>c>f>d>e
0,2,3,1,0,0,0,0,0,0,0,k>l>g>a>j>b>c>h>i>f>d>e
1,2,0,0,0,0,3,0,0,0,0,k>l>g>a>b>c>h>i>j>f>d>e
