"package","variety_a","variety_b","variety_c","best","worst","var_a","var_b","var_c","lon","lat","planting_date","planting_day","season","year","GDD","minNT","maxNT","MLDS","MLWS","Rx5day"
"paquete 121","INTA Rojo","PM2 Don Rey","INTA Ferroso","C","A","Worse","Worse","Better",-85.72906494,13.13832845,16787,352,"Ap15",2015,77,15.31279746,16.25318538,18,2,16.53760338
"paquete 436","BRT 103-182","INTA Matagalpa","PM2 Don Rey","A","B","Better","Worse","Worse",-85.37475586,13.3308301,16787,352,"Ap15",2015,70,17.95,18.74464379,22,1,77.93579102
"paquete 437","ALS 0532-6","INTA Ferroso","SJC 730-79","B","A","Worse","Worse","Worse",-85.3692627,13.3294938,16787,352,"Ap15",2015,70,17.95,18.74464379,22,1,77.93579102
"paquete 438","INTA Rojo","INTA Centro Sur","INTA Precoz","C","A","Worse","Worse","Better",-85.35827637,13.33216638,16787,352,"Ap15",2015,71,17.95615442,18.66013801,22,1,77.93579102
"paquete 440","SJC 730-79","INTA Matagalpa","INTA Ferroso","B","A","Worse","Better","Better",-85.3678894,13.33216638,16789,354,"Ap15",2015,69,17.95,18.64400224,22,1,77.93579102
"paquete 441","INTA Rojo","ALS 0532-6","INTA Centro Sur","B","C","Worse","Better","Worse",-85.3678894,13.3308301,16789,354,"Ap15",2015,69,17.95,18.64400224,22,1,77.93579102
"paquete 442","INTA Precoz","PM2 Don Rey","INTA Fuerte Sequia","C","A","Worse","Worse","Worse",-85.36102295,13.32815751,16789,354,"Ap15",2015,71,17.95615442,18.57572921,22,1,77.93579102
"paquete 444","SJC 730-79","INTA Centro Sur","ALS 0532-6","B","C","Worse","Better","Worse",-85.37338257,13.33216638,16787,352,"Ap15",2015,70,17.95,18.74464379,22,1,77.93579102
"paquete 445","PM2 Don Rey","INTA Fuerte Sequia","INTA Rojo","C","A","Worse","Worse","Worse",-85.35690308,13.33617519,16787,352,"Ap15",2015,71,18.01167848,18.36126445,22,1,77.93579102
"paquete 447","ALS 0532-6","SJC 730-79","INTA Matagalpa","B","C","Worse","Better","Worse",-85.35964966,13.3308301,16785,350,"Ap15",2015,71,17.95615442,18.70545692,22,1,77.93579102
"paquete 448","PM2 Don Rey","INTA Centro Sur","INTA Rojo","B","A","Worse","Better","Worse",-85.37475586,13.33216638,16787,352,"Ap15",2015,70,17.95,18.74464379,22,1,77.93579102
"paquete 449","BRT 103-182","INTA Fuerte Sequia","INTA Ferroso","C","B","Worse","Better","Worse",-85.34179688,13.33617519,16787,352,"Ap15",2015,76,17.37070123,18.47227527,22,1,84.91304016
"paquete 450","INTA Precoz","SJC 730-79","INTA Matagalpa","B","C","Worse","Worse","Better",-85.36651611,13.33216638,16787,352,"Ap15",2015,70,17.95,18.74464379,22,1,77.93579102
"paquete 829","INTA Rojo","INTA Matagalpa","SJC 730-79","B","C","Worse","Better","Worse",-85.45303345,13.19449046,16792,357,"Ap15",2015,73,17.3501119,18.68321149,22,1,58.19937134
"paquete 833","PM2 Don Rey","ALS 0532-6","INTA Matagalpa","B","A","Worse","Better","Worse",-85.5519104,13.19850154,16788,353,"Ap15",2015,81,15.55167848,16.63886982,22,1,57.70901489
"paquete 834","INTA Centro Sur","BRT 103-182","INTA Fuerte Sequia","C","A","Worse","Worse","Better",-85.57113647,13.2065235,16788,353,"Ap15",2015,82,15.6312085,16.97608728,22,1,60.43225098
"paquete 839","ALS 0532-6","INTA Rojo","INTA Matagalpa","A","C","Better","Worse","Worse",-85.54779053,13.17710836,16788,353,"Ap15",2015,79,15.85,17.01052219,20,2,57.51353073
"paquete 840","BRT 103-182","SJC 730-79","PM2 Don Rey","C","B","Worse","Worse","Better",-85.4750061,13.18111972,16786,351,"Ap15",2015,89,15.67038791,17.15728833,18,2,58.19937134
"paquete 463","SJC 730-79","INTA Rojo","INTA Precoz","B","C","Worse","Better","Worse",-85.23605347,12.9028437,16784,349,"Ap15",2015,68,18.71000746,19.58211488,10,3,30.06667614
"paquete 843","PM2 Don Rey","SJC 730-79","ALS 0532-6","A","C","Better","Worse","Worse",-85.4598999,13.19983855,16786,351,"Ap15",2015,71,17.9702238,19.34822081,18,2,58.19937134
"paquete 349","ALS 0532-6","INTA Centro Sur","INTA Matagalpa","C","A","Worse","Worse","Better",-85.73335648,13.13598809,16776,341,"Ap15",2015,76,15.39055949,16.14436777,15,1,16.53760338
"paquete 465","INTA Centro Sur","BRT 103-182","INTA Ferroso","C","A","Worse","Worse","Better",-85.2305603,12.89213455,16784,349,"Ap15",2015,70,18.45005968,19.42774711,10,3,37.44858313
"paquete 847","ALS 0532-6","INTA Precoz","BRT 103-182","A","B","Better","Worse","Worse",-85.42282104,13.15571331,16781,346,"Ap15",2015,71,17.9300373,19.16479299,20,1,66.7935257
"paquete 848","INTA Matagalpa","INTA Centro Sur","INTA Fuerte Sequia","C","A","Worse","Worse","Better",-85.3692627,13.33701035,16784,349,"Ap15",2015,70,18.23027602,18.89415517,22,1,77.93579102
"paquete 850","INTA Rojo","INTA Precoz","ALS 0532-6","A","B","Better","Better","Better",-85.36977768,13.33751144,16784,349,"Ap15",2015,70,18.23027602,18.89415517,22,1,77.93579102
"paquete 852","SJC 730-79","INTA Ferroso","INTA Fuerte Sequia","A","B","Better","Worse","Better",-85.37115097,13.33701035,16784,349,"Ap15",2015,70,18.23027602,18.89415517,22,1,77.93579102
"paquete 853","PM2 Don Rey","ALS 0532-6","INTA Rojo","B","A","Worse","Better","Worse",-85.36977768,13.33851363,16784,349,"Ap15",2015,70,18.23027602,18.89415517,22,1,77.93579102
"paquete 855","SJC 730-79","INTA Ferroso","INTA Centro Sur","C","B","Worse","Worse","Better",-85.3692627,13.3378455,16784,349,"Ap15",2015,70,18.23027602,18.89415517,22,1,77.93579102
