"maxDT","minDT","maxNT","minNT","DTR","SU","TR","CFD"
30.82,21.07,16.89,4.72,15.4094382022472,1,0,-Inf
30.87,21.07,17.63,4.72,15.3602298850575,2,0,-Inf
29.46,21.07,16.89,4.72,15.4210843373494,0,0,-Inf
27.56,15,14.15,2.17,14.0141836734694,0,0,-Inf
31.15,15.98,16.11,3.55,15.5944578313253,6,0,-Inf
30.87,21.07,17.63,4.72,15.3787640449438,3,0,-Inf
30.37,17.65,16.52,5.04,14.4862727272727,1,0,-Inf
42.98,20.65,28.16,4.63,15.3239160839161,64,4,-Inf
29.46,21.07,16.89,4.72,15.4374712643678,0,0,-Inf
30.06,20.11,15.16,4.55,14.5325373134328,1,0,-Inf
30.06,20.11,15.16,4.55,14.5325373134328,1,0,-Inf
30.5,20.11,18.08,4.55,13.9015306122449,2,0,0
30.06,20.11,14.53,4.55,14.1619402985075,1,0,-Inf
35.5,20.11,18.71,4.55,15.1727551020408,18,0,0
35.5,20.11,18.71,4.55,15.1727551020408,18,0,0
30.5,20.11,16.37,4.55,14.8533333333333,3,0,-Inf
30.5,20.11,18.08,4.55,13.9015306122449,2,0,0
30.06,20.11,15.16,4.55,14.5325373134328,1,0,-Inf
30.87,21.07,17.63,4.72,15.3534117647059,2,0,-Inf
42.98,20.65,28.16,4.63,15.3128472222222,65,4,-Inf
30,17.65,16.52,5.04,14.392380952381,0,0,-Inf
26.87,13.8,14.7,2.67,13.72,0,0,-Inf
31.85,15.74,16.05,3.64,15.476125,3,0,-Inf
29.46,21.07,16.89,4.72,15.3040506329114,0,0,-Inf
29.85,17.54,15.35,4.9,14.4039583333333,0,0,-Inf
42.98,20.65,28.16,4.63,15.4014893617021,61,4,-Inf
31.29,18.06,13.99,4.15,15.5069736842105,3,0,-Inf
29.85,17.54,15.35,4.9,14.3766315789474,0,0,-Inf
42.98,20.65,28.16,4.63,15.2924647887324,66,5,-Inf
42.98,20.65,28.16,4.63,15.3566901408451,62,4,-Inf
37.6,21.71,22.33,5.12,15.7593333333333,25,0,-Inf
